London,51.5072,-0.1275,United Kingdom,GB,"London, City of",primary,11262000,8825001
Birmingham,52.4800,-1.9025,United Kingdom,GB,Birmingham,,2919600,1137100
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,,855679,248440
Southampton,50.9025,-1.4042,United Kingdom,GB,Southampton,,855569,271173
Nottingham,52.9561,-1.1512,United Kingdom,GB,Nottingham,,729977,289301
Bristol,51.4536,-2.5975,United Kingdom,GB,"Bristol, City of",,707412,472465
Manchester,53.4790,-2.2452,United Kingdom,GB,Manchester,,547627,547627
Liverpool,53.4094,-2.9785,United Kingdom,GB,Liverpool,,513441,513441
Leicester,52.6344,-1.1319,United Kingdom,GB,Leicester,,508916,464395
Worthing,50.8147,-0.3714,United Kingdom,GB,West Sussex,,474485,109120
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,,362690,362690
Belfast,54.5964,-5.9300,United Kingdom,GB,Belfast,,345006,345006
Bradford,53.8000,-1.7500,United Kingdom,GB,Bradford,,293277,293277
Derby,52.9247,-1.4780,United Kingdom,GB,Derby,,270468,255394
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,,267918,267918
Westminster,51.4947,-0.1353,United Kingdom,GB,Westminster,,255324,255324
Wolverhampton,52.5833,-2.1333,United Kingdom,GB,Wolverhampton,,250970,250970
Northampton,52.2304,-0.8938,United Kingdom,GB,Northamptonshire,,245899,245899
Norwich,52.6286,1.2928,United Kingdom,GB,Norfolk,,213166,195971
Luton,51.8783,-0.4147,United Kingdom,GB,Luton,,213052,213052
Solihull,52.4130,-1.7780,United Kingdom,GB,Solihull,,206674,206674
Islington,51.5440,-0.1027,United Kingdom,GB,Islington,,206125,206125
Aberdeen,57.1500,-2.1100,United Kingdom,GB,Aberdeen City,,200680,200680
Croydon,51.3727,-0.1099,United Kingdom,GB,Croydon,,192064,192064
Bournemouth,50.7200,-1.8800,United Kingdom,GB,,,187503,187503
Basildon,51.5800,0.4900,United Kingdom,GB,Essex,,185900,185900
Maidstone,51.2720,0.5290,United Kingdom,GB,Kent,,176700,176700
Ilford,51.5575,0.0858,United Kingdom,GB,Redbridge,,168168,168168
Warrington,53.3900,-2.5900,United Kingdom,GB,Warrington,,165456,165456
Oxford,51.7500,-1.2500,United Kingdom,GB,Oxfordshire,,152000,152000
Harrow,51.5836,-0.3464,United Kingdom,GB,Harrow,,149246,149246
West Bromwich,52.5190,-1.9950,United Kingdom,GB,Sandwell,,146386,146386
Gloucester,51.8667,-2.2500,United Kingdom,GB,Gloucestershire,,145563,145563
York,53.9600,-1.0800,United Kingdom,GB,York,,141685,141685
Blackpool,53.8142,-3.0503,United Kingdom,GB,Blackpool,,139305,139305
Stockport,53.4083,-2.1494,United Kingdom,GB,Stockport,,137130,137130
Sale,53.4240,-2.3220,United Kingdom,GB,Trafford,,134022,134022
Tottenham,51.5975,-0.0681,United Kingdom,GB,Haringey,,129237,129237
Cambridge,52.2053,0.1192,United Kingdom,GB,Cambridgeshire,,123867,123867
Romford,51.5768,0.1801,United Kingdom,GB,Havering,,122854,122854
Colchester,51.8917,0.9030,United Kingdom,GB,Essex,,121859,121859
High Wycombe,51.6287,-0.7482,United Kingdom,GB,Buckinghamshire,,120256,120256
Gateshead,54.9556,-1.6000,United Kingdom,GB,Gateshead,,120046,120046
Slough,51.5084,-0.5881,United Kingdom,GB,Slough,,119070,119070
Blackburn,53.7480,-2.4820,United Kingdom,GB,Blackburn with Darwen,,117963,117963
Chelmsford,51.7300,0.4800,United Kingdom,GB,Essex,,115369,115369
Rochdale,53.6100,-2.1600,United Kingdom,GB,Rochdale,,110194,110194
Rotherham,53.4300,-1.3570,United Kingdom,GB,Rotherham,,109691,109691
Walthamstow,51.5840,-0.0210,United Kingdom,GB,Waltham Forest,,109424,109424
Basingstoke,51.2667,-1.0876,United Kingdom,GB,Hampshire,,107355,107355
Salford,53.4830,-2.2931,United Kingdom,GB,Salford,,103886,103886
Hounslow,51.4668,-0.3750,United Kingdom,GB,Hounslow,,103337,103337
Wembley,51.5528,-0.2979,United Kingdom,GB,Brent,,102856,102856
Worcester,52.1911,-2.2206,United Kingdom,GB,Worcestershire,,101891,101891
Hammersmith,51.4928,-0.2229,United Kingdom,GB,Hammersmith and Fulham,,95996,95996
Rayleigh,51.5864,0.6049,United Kingdom,GB,Essex,,95580,95580
Hemel Hempstead,51.7526,-0.4692,United Kingdom,GB,Hertfordshire,,94932,94932
Bath,51.3800,-2.3600,United Kingdom,GB,Bath and North East Somerset,,94782,94782
Hayes,51.5127,-0.4211,United Kingdom,GB,Hillingdon,,93928,93928
Darlington,54.5270,-1.5526,United Kingdom,GB,Darlington,,93015,93015
Hove,50.8352,-0.1758,United Kingdom,GB,Brighton and Hove,,91900,91900
Hastings,50.8500,0.5700,United Kingdom,GB,East Sussex,,91053,91053
Watford,51.6550,-0.3957,United Kingdom,GB,Hertfordshire,,90301,90301
Stevenage,51.9017,-0.2019,United Kingdom,GB,Hertfordshire,,89663,89663
